t,v1,v2
-0.000496,-2.32,0.08
-0.000494,-2.32,0.16
-0.000492,-2.32,0.16
-0.00049,-2.32,0.16
-0.000488,-2.48,0.16
-0.000486,-2.48,0.16
-0.000484,-2.48,0.24
-0.000482,-2.48,0.24
-0.00048,-2.48,0.24
-0.000478,-2.4,0.24
-0.000476,-2.24,0.16
-0.000474,-2.24,0.16
-0.000472,-2.24,0.16
-0.00047,-2.24,0.16
-0.000468,-2.32,0.16
-0.000466,-2.4,0.16
-0.000464,-2.48,0.16
-0.000462,-2.48,0.16
-0.00046,-2.4,0.16
-0.000458,-2.4,0.16
-0.000456,-2.4,0.24
-0.000454,-2.32,0.24
-0.000452,-2.24,0.24
-0.00045,-2.24,0.24
-0.000448,-2.24,0.24
-0.000446,-2.32,0.16
-0.000444,-2.32,0.16
-0.000442,-2.4,0.16
-0.00044,-2.4,0.16
-0.000438,-2.4,0.16
-0.000436,-2.32,0.16
-0.000434,-2.32,0.16
-0.000432,-2.16,0.16
-0.00043,-2.16,0.16
-0.000428,-2.16,0.24
-0.000426,-2.24,0.16
-0.000424,-2.32,0.16
-0.000422,-2.4,0.16
-0.00042,-2.48,0.16
-0.000418,-2.48,0.16
-0.000416,-2.4,0.16
-0.000414,-2.4,0.16
-0.000412,-2.24,0.16
-0.00041,-2.24,0.08
-0.000408,-2.24,0.08
-0.000406,-2.24,0.08
-0.000404,-2.32,0.08
-0.000402,-2.32,0.16
-0.0004,-2.4,0.16
-0.000398,-2.48,0.16
-0.000396,-2.4,0.16
-0.000394,-2.32,0.24
-0.000392,-2.32,0.16
-0.00039,-2.24,0.24
-0.000388,-2.24,0.24
-0.000386,-2.16,0.24
-0.000384,-2.24,0.16
-0.000382,-2.32,0.16
-0.00038,-2.32,0.16
-0.000378,-2.4,0.16
-0.000376,-2.48,0.24
-0.000374,-2.4,0.24
-0.000372,-2.32,0.16
-0.00037,-2.32,0.24
-0.000368,-2.24,0.24
-0.000366,-2.24,0.16
-0.000364,-2.24,0.16
-0.000362,-2.24,0.16
-0.00036,-2.32,0.16
-0.000358,-2.4,0.16
-0.000356,-2.48,0.16
-0.000354,-2.48,0.16
-0.000352,-2.48,0.16
-0.00035,-2.4,0.16
-0.000348,-2.32,0.24
-0.000346,-2.24,0.16
-0.000344,-2.32,0.16
-0.000342,-2.32,0.08
-0.00034,-2.32,0.16
-0.000338,-2.32,0.16
-0.000336,-2.48,0.16
-0.000334,-2.48,0.16
-0.000332,-2.48,0.16
-0.00033,-2.4,0.16
-0.000328,-2.4,0.16
-0.000326,-2.32,0.08
-0.000324,-2.24,0.08
-0.000322,-2.24,0.08
-0.00032,-2.24,0.16
-0.000318,-2.32,0.08
-0.000316,-2.32,0.16
-0.000314,-2.32,0.16
-0.000312,-2.4,0.16
-0.00031,-2.4,0.16
-0.000308,-2.32,0.16
-0.000306,-2.24,0.24
-0.000304,-2.24,0.24
-0.000302,-2.24,0.24
-0.0003,-2.24,0.24
-0.000298,-2.24,0.24
-0.000296,-2.24,0.24
-0.000294,-2.32,0.24
-0.000292,-2.4,0.16
-0.00029,-2.4,0.16
-0.000288,-2.4,0.24
-0.000286,-2.32,0.16
-0.000284,-2.24,0.16
-0.000282,-2.16,0.16
-0.00028,-2.24,0.16
-0.000278,-2.24,0.16
-0.000276,-2.24,0.08
-0.000274,-2.32,0.08
-0.000272,-2.32,0.08
-0.00027,-2.32,0.08
-0.000268,-2.4,0.16
-0.000266,-2.4,0.16
-0.000264,-2.32,0.16
-0.000262,-2.24,0.16
-0.00026,-2.24,0.08
-0.000258,-2.16,0.16
-0.000256,-2.16,0.08
-0.000254,-2.24,0.08
-0.000252,-2.32,0.08
-0.00025,-2.32,0.08
-0.000248,-2.4,0.08
-0.000246,-2.4,0.16
-0.000244,-2.32,0.16
-0.000242,-2.24,0.16
-0.00024,-2.24,0.16
-0.000238,-2.16,0.24
-0.000236,-2.16,0.16
-0.000234,-2.24,0.24
-0.000232,-2.32,0.16
-0.00023,-2.32,0.24
-0.000228,-2.4,0.16
-0.000226,-2.4,0.16
-0.000224,-2.4,0.16
-0.000222,-2.32,0.16
-0.00022,-2.24,0.16
-0.000218,-2.24,0.16
-0.000216,-2.24,0.24
-0.000214,-2.24,0.16
-0.000212,-2.24,0.16
-0.00021,-2.32,0.16
-0.000208,-2.4,0.16
-0.000206,-2.4,0.16
-0.000204,-2.4,0.16
-0.000202,-2.32,0.16
-0.0002,-2.32,0.16
-0.000198,-2.24,0.16
-0.000196,-2.24,0.16
-0.000194,-2.24,0.16
-0.000192,-2.24,0.16
-0.00019,-2.32,0.16
-0.000188,-2.32,0.16
-0.000186,-2.4,0.16
-0.000184,-2.4,0.16
-0.000182,-2.4,0.24
