t,v1,v2
-0.0043,-0.52,0.12
-0.004296,-0.52,0.12
-0.004292,-0.52,0.16
-0.004288,-0.56,0.12
-0.004284,-0.52,0.12
-0.00428,-0.52,0.16
-0.004276,-0.48,0.16
-0.004272,-0.48,0.12
-0.004268,-0.48,0.08
-0.004264,-0.52,0.08
-0.00426,-0.48,0.16
-0.004256,-0.44,0.12
-0.004252,-0.48,0.12
-0.004248,-0.52,0.12
-0.004244,-0.56,0.16
-0.00424,-0.56,0.16
-0.004236,-0.56,0.16
-0.004232,-0.56,0.12
-0.004228,-0.52,0.12
-0.004224,-0.56,0.12
-0.00422,-0.56,0.12
-0.004216,-0.52,0.16
-0.004212,-0.48,0.12
-0.004208,-0.48,0.08
-0.004204,-0.52,0.12
-0.0042,-0.48,0.12
-0.004196,-0.48,0.12
-0.004192,-0.48,0.08
-0.004188,-0.48,0.12
-0.004184,-0.48,0.12
-0.00418,-0.56,0.12
-0.004176,-0.56,0.16
-0.004172,-0.52,0.16
-0.004168,-0.52,0.16
-0.004164,-0.52,0.12
-0.00416,-0.56,0.12
-0.004156,-0.56,0.12
-0.004152,-0.56,0.12
-0.004148,-0.52,0.12
-0.004144,-0.52,0.12
-0.00414,-0.56,0.16
-0.004136,-0.56,0.16
-0.004132,-0.56,0.16
-0.004128,-0.52,0.16
-0.004124,-0.48,0.2
-0.00412,-0.52,0.2
-0.004116,-0.56,0.16
-0.004112,-0.56,0.16
-0.004108,-0.56,0.12
-0.004104,-0.52,0.16
-0.0041,-0.52,0.12
-0.004096,-0.56,0.16
-0.004092,-0.52,0.16
-0.004088,-0.48,0.16
-0.004084,-0.48,0.16
-0.00408,-0.48,0.16
-0.004076,-0.48,0.16
-0.004072,-0.52,0.16
-0.004068,-0.52,0.16
-0.004064,-0.52,0.16
-0.00406,-0.52,0.16
-0.004056,-0.52,0.16
-0.004052,-0.56,0.12
-0.004048,-0.56,0.12
-0.004044,-0.48,0.12
-0.00404,-0.48,0.16
-0.004036,-0.52,0.12
-0.004032,-0.52,0.12
-0.004028,-0.56,0.16
-0.004024,-0.52,0.2
-0.00402,-0.52,0.16
-0.004016,-0.48,0.16
-0.004012,-0.52,0.16
-0.004008,-0.52,0.16
-0.004004,-0.56,0.16
-0.004,-0.56,0.16
-0.003996,-0.52,0.16
-0.003992,-0.56,0.16
-0.003988,-0.56,0.12
-0.003984,-0.56,0.12
-0.00398,-0.56,0.12
-0.003976,-0.52,0.12
-0.003972,-0.52,0.12
-0.003968,-0.52,0.16
-0.003964,-0.56,0.16
-0.00396,-0.56,0.16
-0.003956,-0.48,0.16
-0.003952,-0.48,0.2
-0.003948,-0.48,0.16
-0.003944,-0.52,0.12
-0.00394,-0.52,0.16
-0.003936,-0.52,0.16
-0.003932,-0.48,0.16
-0.003928,-0.48,0.16
-0.003924,-0.48,0.12
-0.00392,-0.48,0.12
-0.003916,-0.48,0.16
-0.003912,-0.44,0.12
-0.003908,-0.44,0.08
-0.003904,-0.48,0.08
-0.0039,-0.52,0.08
-0.003896,-0.52,0.08
-0.003892,-0.52,0.16
-0.003888,-0.48,0.16
-0.003884,-0.52,0.16
-0.00388,-0.52,0.2
-0.003876,-0.48,0.16
-0.003872,-0.48,0.16
-0.003868,-0.48,0.16
-0.003864,-0.48,0.16
-0.00386,-0.56,0.16
-0.003856,-0.56,0.16
-0.003852,-0.52,0.16
-0.003848,-0.48,0.16
-0.003844,-0.48,0.16
-0.00384,-0.52,0.16
-0.003836,-0.52,0.16
